path	git_state	bytes	utf8	status	batch	note
configs/_archived/az_apr/s058_az_stage1_baseline.toml	tracked	1224	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s059_az_stage1_seed43.toml	tracked	509	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s060_az_stage1_seed44.toml	tracked	509	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s061_az_stage2_baseline.toml	tracked	1243	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s062_az_stage2_seed43.toml	tracked	491	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s063_az_stage2_seed44.toml	tracked	491	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s064_az_stage3_1card.toml	tracked	1349	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s065_az_stage3_1card_seed43.toml	tracked	522	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s066_az_stage3_1card_seed44.toml	tracked	522	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s067_az_stage3_multicard_baseline.toml	tracked	1612	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s068_az_d4_mirror_break.toml	tracked	1350	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s069_az_d4_more_rollouts.toml	tracked	1244	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/bc_apr/r009_bc_data_gen_stage3.toml	tracked	1047	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/bc_apr/r009_bc_eval_ep0.toml	tracked	649	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/bc_apr/r009_bc_eval_ep1.toml	tracked	533	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/bc_apr/r009_bc_eval_ep2.toml	tracked	511	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/bc_apr/r009_bc_eval_ep3.toml	tracked	426	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/bc_apr/r009_bc_eval_ep4.toml	tracked	377	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/bc_apr/r009_bc_eval_ep5.toml	tracked	469	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/bc_apr/r009_bc_eval_ep6.toml	tracked	364	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/bc_apr/r009_bc_pretrain_stage3.toml	tracked	1774	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/bench_go_1w.toml	tracked	392	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/bench_go_par4.toml	tracked	378	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/bench_python_1w.toml	tracked	429	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s001_backend_bench_py_100g.toml	tracked	516	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s002_backend_bench_go_100g.toml	tracked	464	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s005_d1_check.toml	tracked	1119	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s008_ppo_stage0_smoke.toml	tracked	850	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s009_ppo_stage1_smoke.toml	tracked	757	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s010_ppo_stage1_2000iter.toml	tracked	507	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s011_stage1_terminal10_vc0.1.toml	tracked	1007	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s012_stage1_vs_f1d1_opp.toml	tracked	912	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s013_stage1_vs_f1d1_2000iter.toml	tracked	718	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s014_stage1_mix_f1d1_f1d2.toml	tracked	1139	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s015_bc_data_gen.toml	tracked	1386	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s015_bc_smoke.toml	tracked	447	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s015c_bc_f1d1_diag.toml	tracked	844	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s016_bc_pretrain.toml	tracked	720	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s016b_bc_bigger_net.toml	tracked	761	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s016c_bc_f1d1_diag.toml	tracked	597	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s016d_bc_d1024_60ep.toml	tracked	588	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s017_bc_ppo_finetune.toml	tracked	1334	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s018_bc_data_gen_stage2.toml	tracked	1338	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s019_bc_pretrain_stage2.toml	tracked	650	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s020_ppo_finetune_stage2.toml	tracked	1012	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s021_bc_data_gen_stage3.toml	tracked	1103	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s022_bc_pretrain_stage3.toml	tracked	710	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s023_ppo_finetune_stage3.toml	tracked	906	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s024_stage3_seed1.toml	tracked	1162	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s025_stage3_seed2.toml	tracked	598	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s026_bc_data_gen_stage3_1card.toml	tracked	906	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s027_bc_pretrain_stage3_1card.toml	tracked	478	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s028_ppo_finetune_stage3_1card.toml	tracked	1211	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s029_ppo_finetune_stage3_1card_seed1.toml	tracked	710	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s030_ppo_finetune_stage3_1card_seed2.toml	tracked	593	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s031_bc_data_gen_stage3_1card_fullobs.toml	tracked	694	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s032_bc_pretrain_stage3_1card_fullobs.toml	tracked	438	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s033_ppo_finetune_stage3_1card_fullobs.toml	tracked	664	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s034_bc_data_gen_stage3_1card_d3teacher.toml	tracked	628	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s035_bc_pretrain_stage3_1card_d3teacher.toml	tracked	425	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s036_ppo_finetune_stage3_1card_d3teacher.toml	tracked	622	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s037_bc_pretrain_stage3_1card_hardtarget.toml	tracked	662	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s038_ppo_finetune_stage3_1card_hardtarget.toml	tracked	620	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s039_ppo_finetune_stage3_1card_fullobs_seed1.toml	tracked	539	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s040_ppo_finetune_stage3_1card_fullobs_seed2.toml	tracked	539	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s041_bc_data_gen_stage3_multicard_fullobs.toml	tracked	706	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s042_bc_pretrain_stage3_multicard_fullobs.toml	tracked	428	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s043_ppo_finetune_stage3_multicard_fullobs.toml	tracked	862	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s044_ppo_finetune_stage3_1card_d3teacher_seed1.toml	tracked	560	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s045_ppo_finetune_stage3_1card_d3teacher_seed2.toml	tracked	560	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s046_ppo_finetune_stage3_multicard_fullobs_seed1.toml	tracked	570	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s047_ppo_finetune_stage3_multicard_fullobs_seed2.toml	tracked	570	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s048_bc_data_gen_stage3_1card_fullobs_d3teacher.toml	tracked	592	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s049_bc_pretrain_stage3_1card_fullobs_d3teacher.toml	tracked	449	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s050_ppo_finetune_stage3_1card_fullobs_d3teacher_seed0.toml	tracked	754	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s051_ppo_finetune_stage3_1card_fullobs_d3teacher_seed1.toml	tracked	529	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s052_ppo_finetune_stage3_1card_fullobs_d3teacher_seed2.toml	tracked	529	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s053_ppo_finetune_stage3_1card_fullobs_long.toml	tracked	738	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/ppo_apr/s054_ppo_scratch_1card_fullobs.toml	tracked	913	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/active/dmc_stage3.toml	tracked	1851	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/active/dmc_stage3_pilot.toml	tracked	1492	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/active/dmc_stage3_pilot_probe.toml	tracked	912	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/active/s070_v_phase2_kaeya_minimal.toml	tracked	1300	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/shipped/fixed_1v1.toml	tracked	323	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/shipped/random_1v1.toml	tracked	370	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/shipped/shipped_1v1.toml	tracked	774	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/shipped/shipped_2v2.toml	tracked	873	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/dmc_resume_test.toml	tracked	745	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/dmc_resume_test_continue.toml	tracked	784	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/dmc_stage3_smoke.toml	tracked	1205	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/dmc_stage3_smoke_v2.toml	tracked	1507	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/smoke.toml	tracked	438	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/smoke_2v2.toml	tracked	490	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/smoke_az_init_from_bc.toml	tracked	803	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/smoke_bc_data_gen_container.toml	tracked	480	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/smoke_bc_pretrain_container.toml	tracked	484	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/smoke_eval_bc_ckpt.toml	tracked	713	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/smoke_go.toml	tracked	497	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/smoke_go_par4.toml	tracked	429	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/smoke_go_tiny.toml	tracked	458	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/smoke_python_tiny.toml	tracked	477	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/pre_redesign_2026_05_17/smoke/v_phase2_smoke.toml	tracked	1021	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/az/default.toml	tracked	2665	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/az/smoke.toml	tracked	2648	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/az/smoke_full.toml	tracked	808	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/bc/default.toml	tracked	2282	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/bc/smoke.toml	tracked	1769	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/bc/smoke_full.toml	tracked	674	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/cfr/default.toml	tracked	2284	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/cfr/smoke.toml	tracked	2682	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/cfr/smoke_full.toml	tracked	1484	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/bench_v_legacy_go.toml	tracked	1561	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/bench_v_legacy_mac_go.toml	tracked	1437	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/bench_v_legacy_mac_python_mp.toml	tracked	4223	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/bench_v_legacy_python_mp.toml	tracked	1671	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/curriculum_l3.toml	tracked	452	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/curriculum_l4.toml	tracked	539	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/curriculum_l5.toml	tracked	601	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/curriculum_l6.toml	tracked	633	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/d128_benchmark.toml	tracked	676	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/default.toml	tracked	1794	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/eval_stage3_b_v_legacy.toml	tracked	2050	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/gpu_async.toml	tracked	963	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/gpu_async_win.toml	tracked	655	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/gpu_async_win_16.toml	tracked	585	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/gpu_async_win_24.toml	tracked	579	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/gpu_async_win_d128.toml	tracked	645	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/native_consequence.toml	untracked	1626	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/native_starter.toml	tracked	1608	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/pre_rl_small.toml	tracked	270	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/readiness_base.toml	tracked	353	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/readiness_holdout.toml	tracked	213	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/readiness_tactics.toml	tracked	365	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/semantic_duo.toml	tracked	464	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/semantic_duo_tactics.toml	tracked	1090	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/semantic_goal.toml	tracked	281	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/smoke.toml	tracked	1350	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/smoke_full.toml	tracked	708	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/stage3_b_v_legacy.toml	tracked	4216	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/stage3_b_v_legacy_go.toml	tracked	1193	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/stage3_micro.toml	tracked	490	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/dmc/stage3_pilot.toml	tracked	971	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/ppo/default.toml	tracked	2716	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/ppo/smoke.toml	tracked	1976	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/ppo/smoke_full.toml	tracked	743	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/rule_validation/lethal_attack.toml	tracked	457	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
